performance_label,hook_style,niche_category,content_format_clean,day_of_week,trending_sound_used,video_duration_seconds,duration_band,post_hour,views,likes,comments,shares,saves_or_favorites,followers_gained,avg_watch_time_seconds,watch_time_percentage_num,total_hashtag_count,engagement_rate_no_saves,engagement_rate_with_saves,like_rate,comment_rate,share_rate,save_rate
Medium,Story,Travel Hacks,text_overlay,Wednesday,1,12.68,under_15,14,27454,969,234,207,29,2,2.63,31.58,4,0.05135863626429664,0.052414948641363736,0.03529540321993152,0.008523348145989656,0.0075398848983754645,0.0010563123770670941
High,Question,Travel Hacks,voiceover,Thursday,0,31.2,30_45,7,38430,1926,394,221,155,4,8.49,23.93,4,0.06612021857923497,0.0701535258912308,0.05011709601873536,0.01025240697371845,0.005750715586781161,0.004033307311995837
High,Tutorial,Budget Travel,voiceover,Wednesday,0,21.54,15_30,22,107109,4488,1195,490,411,7,3.39,15.13,5,0.057632878656322065,0.06147009121549076,0.0419012407920903,0.01115685890074597,0.0045747789634857945,0.0038372125591686975
High,Story,Visa Application Tips,text_overlay,Tuesday,0,24.81,15_30,14,40167,1854,478,139,24,3,4.65,15.85,5,0.061518161675006844,0.06211566708989967,0.04615729330047053,0.011900316179948715,0.003460552194587597,0.0005975054148928225
Medium,Question,Travel Hacks,voiceover,Friday,0,18.39,15_30,22,74909,3191,388,501,201,3,5.5,29.01,5,0.05446608551709407,0.057149341200656796,0.042598352667903724,0.005179617936429535,0.006688114912760817,0.0026832556835627228
Medium,Story,Budget Travel,text_overlay,Tuesday,0,47.01,45_60,19,92302,3515,399,396,889,9,7.08,17.16,3,0.046694546163680094,0.056325973435028494,0.038081515026759986,0.004322766570605188,0.004290264566314923,0.0096314272713484
Medium,Statistic,Travel Hacks,voiceover,Wednesday,0,7.33,under_15,10,28123,896,235,201,11,1,3.35,30.53,4,0.04736336806172883,0.047754506987163534,0.03186004338086264,0.008356149770650358,0.007147174910215838,0.0003911389254346976
Medium,Story,Travel Hacks,screen_recording,Tuesday,0,45.65,45_60,21,14313,598,148,67,7,1,6.74,12.53,3,0.056801509117585414,0.05729057500174666,0.04178019981834696,0.010340250122266472,0.0046810591769719835,0.000489065884161252
Medium,Question,Destination Guides,voiceover,Sunday,0,25.24,15_30,11,199138,7335,806,1165,1668,18,4.44,17.58,5,0.04673141238738965,0.05510751338267935,0.03683375347748798,0.0040474444857335114,0.005850214424168164,0.008376100995289699
High,Tutorial,Travel Hacks,voiceover,Saturday,0,50.9,45_60,18,111257,4854,1488,617,67,8,8.42,16.73,3,0.0625488733293186,0.06315108262850877,0.043628715496553026,0.01337443936111885,0.005545718471646728,0.0006022092991901633
High,Tutorial,Budget Travel,voiceover,Wednesday,1,44.8,30_45,11,85650,3944,1067,555,153,6,13.09,32.35,4,0.06498540572095739,0.0667717454757735,0.046047869235259775,0.012457676590776416,0.006479859894921191,0.001786339754816112
High,Tutorial,Budget Travel,voiceover,Saturday,0,58.09,45_60,19,48924,2233,297,262,420,2,5.9,12.42,4,0.05706810563322705,0.06565284931730848,0.04564222058703295,0.006070640176600441,0.005355244869593655,0.008584743684081433
Medium,Dramatic,Destination Guides,voiceover,Wednesday,0,28.24,15_30,17,35513,1221,185,205,16,2,9.18,28.03,5,0.045363669642102894,0.04581420888125475,0.034381775687776304,0.00520935995269338,0.005772534001633205,0.0004505392391518599
Medium,Story,Travel Hacks,voiceover,Friday,0,46.02,45_60,8,56945,2125,414,274,76,5,13.84,30.41,3,0.049398542453244355,0.05073316357889191,0.03731670910527702,0.007270172973922206,0.004811660374045131,0.0013346211256475547
Medium,Statistic,Destination Guides,voiceover,Friday,1,58.13,45_60,7,136451,5180,679,806,144,9,8.93,15.43,4,0.048845373064323454,0.04990069695348513,0.037962345457343664,0.004976145282922074,0.00590688232405772,0.0010553238891616772
High,Tutorial,Budget Travel,voiceover,Saturday,0,33.86,30_45,12,537694,27216,5250,2406,2912,21,3.15,13.57,4,0.06485473150156036,0.07027045122318643,0.05061614970596659,0.009763917767354666,0.0044746640282391096,0.005415719721626055
High,Statistic,Travel Hacks,screen_recording,Saturday,0,29.62,15_30,21,31057,1320,273,142,192,2,1.92,8.72,3,0.05586502237820781,0.06204720352899507,0.04250249541166243,0.008790288823775638,0.004572238142769746,0.006182181150787262
High,Story,Visa Application Tips,screen_recording,Thursday,0,24.37,15_30,18,85649,3785,877,575,50,3,6.58,31.31,5,0.06114490536958984,0.06172868334714941,0.044191992901259795,0.010239465726394937,0.006713446741935108,0.0005837779775595746
Medium,Story,Travel Hacks,voiceover,Monday,0,87.03,over_60,18,62406,1992,385,353,139,3,2.67,4.0,4,0.043745793673685224,0.04597314360798641,0.031920007691568116,0.00616927859500689,0.0056565073871102135,0.002227349934301189
High,Tutorial,Visa Application Tips,voiceover,Friday,0,26.31,15_30,11,222592,10174,1981,2123,946,11,1.0,5.77,4,0.06414426394479586,0.06839419206440484,0.045706943645773435,0.008899690914318574,0.009537629384703853,0.00424992811960897
High,Tutorial,Budget Travel,voiceover,Tuesday,0,48.15,45_60,10,72284,3301,937,551,44,2,9.98,17.78,5,0.06625255934923358,0.06686126943721986,0.045667090919152234,0.012962758010071384,0.00762271042000996,0.0006087100879862764
High,Question,Visa Application Tips,text_overlay,Wednesday,0,9.68,under_15,11,54982,2580,507,389,35,4,1.0,6.19,4,0.06322069040776981,0.06385726237677786,0.046924448001164014,0.009221199665345022,0.007075042741260776,0.000636571969008039
Medium,Question,Destination Guides,voiceover,Monday,1,21.38,15_30,18,144625,5578,1164,655,920,15,6.5,25.45,5,0.051146067415730335,0.05750734658599827,0.03856871218668972,0.008048401037165082,0.004528954191875541,0.006361279170267934
High,Question,Visa Application Tips,screen_recording,Tuesday,0,15.71,15_30,15,73242,3402,674,421,45,5,3.7,25.02,4,0.06139919718194479,0.06201359875481281,0.04644875890882281,0.009202370224734443,0.005748068048387537,0.0006144015728680265
Medium,Dramatic,Destination Guides,text_overlay,Wednesday,0,22.47,15_30,8,69577,2495,295,457,122,3,5.93,23.78,5,0.04666772065481409,0.04842117366371071,0.03585955128850051,0.004239906865774609,0.0065682625005389714,0.0017534530088966181
Medium,Story,Budget Travel,voiceover,Monday,1,44.92,30_45,17,146481,5698,840,492,1246,9,9.46,20.19,4,0.04799257241553512,0.05649879506557164,0.0388992429052232,0.0057345321236201285,0.0033587973866917894,0.008506222650036524
High,Tutorial,Travel Hacks,voiceover,Wednesday,0,28.82,15_30,8,34240,1731,405,282,45,3,2.53,10.01,3,0.07061915887850467,0.07193341121495327,0.05055490654205608,0.011828271028037383,0.008235981308411215,0.001314252336448598
High,Tutorial,Travel Hacks,text_overlay,Tuesday,0,34.54,30_45,11,87865,4583,1058,586,60,5,6.44,17.08,4,0.07087008478916519,0.07155295054913788,0.05215956296591362,0.012041199567518352,0.006669322255733227,0.0006828657599726853
High,Tutorial,Travel Hacks,voiceover,Wednesday,1,23.5,15_30,22,77637,3458,847,542,238,4,2.62,14.98,5,0.06243157257493206,0.06549712121797596,0.044540618519520334,0.010909746641420972,0.006981207413990752,0.0030655486430439093
Medium,Question,Travel Hacks,text_overlay,Wednesday,0,72.93,over_60,18,49154,2009,479,419,27,2,12.03,15.82,4,0.05914065996663547,0.05968995402205314,0.040871546567929365,0.009744883427594905,0.008524229971111201,0.000549294055417667
High,Tutorial,Travel Hacks,screen_recording,Sunday,1,41.87,30_45,22,270711,11157,3870,2128,3043,27,10.35,24.63,5,0.06337016227637592,0.0746109319532638,0.041213692831100324,0.01429568802154327,0.007860781423732319,0.0112407696768879
High,Tutorial,Destination Guides,voiceover,Tuesday,1,36.9,30_45,13,109974,3955,959,726,1017,10,10.8,30.6,5,0.05128484914616182,0.0605324894975176,0.035963045810828015,0.008720242966519359,0.006601560368814447,0.009247640351355776
Medium,Story,Destination Guides,screen_recording,Sunday,0,19.98,15_30,19,699242,23406,5871,3300,1054,51,7.92,33.82,4,0.04658902068239608,0.04809636720906353,0.033473389756336146,0.008396234779947429,0.004719396146112505,0.0015073465266674485
Medium,Question,Destination Guides,voiceover,Sunday,0,11.24,under_15,8,13851,432,133,83,39,1,3.39,35.08,4,0.04678362573099415,0.04959930690924843,0.031189083820662766,0.009602194787379973,0.0059923471229514115,0.0028156811782542777
High,Tutorial,Destination Guides,text_overlay,Monday,0,53.88,45_60,22,47118,2245,458,277,30,4,7.19,16.05,5,0.06324546882295513,0.0638821681735218,0.047646334734071906,0.00972027675198438,0.0058788573368988494,0.0006366993505666624
Medium,Tutorial,Destination Guides,voiceover,Saturday,0,55.73,45_60,20,77738,3065,616,511,41,7,5.1,7.17,4,0.0539247215004245,0.05445213409143533,0.039427307108492626,0.00792405258689444,0.006573361805037433,0.0005274125910108312
Medium,Story,Destination Guides,text_overlay,Friday,1,40.79,30_45,19,58527,2302,353,322,29,2,18.16,43.48,4,0.050865412544637514,0.05136091034906966,0.03933227399319972,0.006031404309122286,0.005501734242315513,0.0004954978044321424
High,Tutorial,Budget Travel,text_overlay,Saturday,1,13.55,under_15,9,63276,2668,551,292,588,6,3.87,28.88,3,0.05548707250774385,0.0647796953031165,0.0421644857449902,0.008707882925595803,0.004614703837157848,0.009292622795372654
Medium,Story,Visa Application Tips,text_overlay,Sunday,1,28.78,15_30,22,201185,8852,1358,1422,113,10,5.31,20.23,3,0.057817431717076324,0.05837910380992619,0.043999304123070807,0.006750006213186868,0.007068121380818649,0.0005616720928498646
Medium,Story,Travel Hacks,voiceover,Saturday,1,20.86,15_30,12,21058,796,118,124,133,2,2.2,15.28,5,0.049292430430240286,0.055608319878431,0.03780036090796847,0.00560357108937221,0.005888498432899611,0.006315889448190711
Medium,Question,Travel Hacks,voiceover,Sunday,1,17.28,15_30,19,70886,2786,550,396,341,2,5.6,37.53,3,0.05264791355133595,0.05745845441977259,0.03930254210986655,0.0077589368845752335,0.005586434556894168,0.004810540868436645
High,Tutorial,Destination Guides,text_overlay,Sunday,1,40.33,30_45,9,194439,9373,1824,929,225,8,8.8,21.24,3,0.06236403190717912,0.0635212071652292,0.04820534974979299,0.009380834091926003,0.004777848065460119,0.0011571752580500825
Medium,Dramatic,Budget Travel,voiceover,Tuesday,0,40.38,30_45,8,155220,5409,1049,984,201,5,8.53,18.98,4,0.047944852467465535,0.04923978868702487,0.03484731349052957,0.006758149722973844,0.006339389253962119,0.0012949362195593351
High,Question,Visa Application Tips,voiceover,Tuesday,0,89.92,over_60,8,18133,887,117,98,29,1,13.42,13.97,4,0.06077317597749959,0.06237247008217063,0.04891634037390393,0.006452324491259031,0.005404511112336624,0.0015992941046710418
Medium,Story,Visa Application Tips,screen_recording,Thursday,0,82.35,over_60,10,29572,1205,125,189,92,2,12.2,13.11,3,0.05136615717570675,0.054477208169890434,0.040748004869471124,0.004226971459488705,0.006391180846746922,0.0031110509941836874
Medium,Question,Travel Hacks,voiceover,Wednesday,0,80.56,over_60,14,55883,2207,182,392,516,5,9.17,10.74,4,0.04976468693520391,0.058998264230624695,0.039493226920530394,0.00325680439489648,0.007014655619777034,0.00923357729542079
Medium,Statistic,Travel Hacks,screen_recording,Saturday,0,52.13,45_60,9,116292,4814,1024,592,64,11,8.67,18.44,3,0.05529185154610807,0.055842190348433254,0.04139579678739724,0.008805420837202904,0.005090633921507928,0.0005503388023251815
Medium,Question,Destination Guides,voiceover,Saturday,1,70.87,over_60,13,45627,1599,419,333,130,1,10.58,15.39,4,0.051526508427027856,0.054375698599513446,0.03504503912157275,0.009183159094395862,0.007298310211059241,0.0028491901724855898
Medium,Question,Destination Guides,voiceover,Saturday,0,11.37,under_15,15,18857,765,103,136,10,1,2.22,23.14,4,0.053242827597178764,0.05377313464495943,0.04056848915522087,0.00546216259214085,0.007212175849817044,0.000530307047780665
Medium,Dramatic,Travel Hacks,voiceover,Tuesday,0,55.25,45_60,7,60360,2077,224,381,343,4,9.74,19.55,3,0.04443339960238569,0.050115970841616966,0.03441020543406229,0.0037110669317428763,0.006312127236580517,0.005682571239231279
Medium,Statistic,Destination Guides,voiceover,Saturday,0,45.39,45_60,17,134780,4844,770,946,832,8,8.62,16.8,3,0.048671909778898945,0.05484493248256418,0.035940050452589405,0.005713013800267102,0.00701884552604244,0.006173022703665232
High,Story,Visa Application Tips,voiceover,Friday,1,15.8,15_30,21,259598,12051,2875,1986,167,11,1.38,16.16,4,0.0651468809466945,0.0657901832833843,0.04642177520628048,0.011074815676546045,0.007650290063867981,0.000643302336689805
Medium,Dramatic,Visa Application Tips,text_overlay,Monday,1,36.12,30_45,15,197663,6474,1338,1243,1490,19,5.11,15.28,5,0.045810293276941055,0.053348375770882764,0.032752715480388335,0.006769096897244299,0.0062884808993084185,0.0075380824939417085
High,Question,Travel Hacks,voiceover,Saturday,0,34.58,30_45,10,262422,13047,2310,998,1787,10,3.48,12.96,5,0.062323280822492014,0.06913292330673496,0.049717630381599105,0.008802615634359924,0.0038030348065329887,0.006809642484242937
High,Tutorial,Travel Hacks,voiceover,Sunday,1,55.68,45_60,7,50263,2439,590,253,253,4,2.73,4.0,5,0.0652965401985556,0.07033006386407496,0.04852475976364324,0.011738256769392993,0.005033523665519368,0.005033523665519368
Medium,Statistic,Destination Guides,screen_recording,Sunday,0,18.31,15_30,11,173400,6395,1220,952,75,13,3.3,14.68,3,0.049405997693194925,0.04983852364475202,0.0368800461361015,0.007035755478662053,0.005490196078431373,0.00043252595155709344
Medium,Question,Destination Guides,voiceover,Saturday,0,16.4,15_30,21,78911,2896,524,477,284,4,2.76,11.98,5,0.049384749908124345,0.05298374117676877,0.03669957293659946,0.0066403923407383,0.006044784630786583,0.003598991268644422
High,Question,Budget Travel,voiceover,Tuesday,1,37.26,30_45,7,185597,8021,2155,1249,113,4,6.84,16.12,4,0.06155810708147222,0.06216695312963033,0.04321729338297494,0.011611179060006359,0.006729634638490924,0.000608846048158106
Medium,Question,Destination Guides,voiceover,Wednesday,0,10.08,under_15,9,21203,852,173,64,40,1,1.52,15.69,4,0.0513606565108711,0.05324718200254681,0.040182992972692545,0.00815922275149743,0.0030184407866811302,0.0018865254916757062
High,Tutorial,Visa Application Tips,voiceover,Monday,0,25.97,15_30,7,100233,5325,1263,422,433,9,4.15,13.4,4,0.06993704668123273,0.07425698123372541,0.05312621591691359,0.012600640507617252,0.0042101902567018845,0.004319934552492692
Medium,Statistic,Destination Guides,text_overlay,Tuesday,0,38.37,30_45,21,86618,3487,808,398,45,8,4.98,14.2,3,0.05418042439215867,0.05469994689325544,0.040257221362765244,0.00932831513080422,0.004594887898589208,0.0005195225010967697
Medium,Story,Travel Hacks,voiceover,Friday,0,11.45,under_15,19,34438,1121,152,258,14,3,2.13,10.43,3,0.04445670480283408,0.04486323247575353,0.032551251524478776,0.004413729020268309,0.007491724258086997,0.00040652767291944944
High,Tutorial,Budget Travel,voiceover,Tuesday,1,59.6,45_60,22,92539,4702,582,468,113,2,17.13,26.7,3,0.062157576805455,0.0633786835820573,0.05081100941224781,0.0062892402122348414,0.005057327180972347,0.0012211067766022975
Medium,Question,Budget Travel,voiceover,Monday,0,38.78,30_45,14,70411,2778,506,280,423,5,9.56,23.48,4,0.050617091079518825,0.05662467512178495,0.03945406257544986,0.00718637712857366,0.003976651375495306,0.006007584042266124
Medium,Statistic,Travel Hacks,text_overlay,Saturday,0,45.07,45_60,8,65435,2562,442,445,357,3,5.44,15.08,5,0.05270879498739207,0.0581645908153129,0.039153358294490716,0.006754794834568656,0.006800641858332696,0.005455795827920837
High,Question,Visa Application Tips,voiceover,Friday,0,46.56,45_60,7,75034,3351,822,643,45,5,13.48,26.68,3,0.06418423647946264,0.06478396460271343,0.04465975424474238,0.010955033718047819,0.008569448516672441,0.0005997281232507929
High,Tutorial,Budget Travel,text_overlay,Sunday,1,33.13,30_45,9,216108,10012,1143,883,2226,17,1.38,4.0,3,0.05570362966664816,0.06600403501952727,0.0463286875080978,0.0052890221555888725,0.0040859200029614825,0.010300405352879115
High,Tutorial,Travel Hacks,text_overlay,Monday,0,24.04,15_30,20,124539,5870,1375,537,76,5,3.2,12.36,3,0.062486450027702166,0.06309670063193056,0.04713382956342993,0.011040718168605818,0.004311902295666418,0.0006102506042283943
Medium,Question,Budget Travel,screen_recording,Friday,0,45.82,45_60,21,57784,2118,189,376,230,4,10.33,19.39,3,0.046431538142046244,0.05041187872075315,0.0366537449813097,0.003270801605980894,0.006506991554755642,0.0039803405787069085
High,Question,Travel Hacks,voiceover,Thursday,1,58.81,45_60,20,87006,3898,501,781,230,2,15.48,27.15,3,0.05953612394547503,0.062179619796335885,0.04480150794198101,0.005758223570788221,0.008976392432705791,0.00264349585086086
Medium,Statistic,Visa Application Tips,voiceover,Friday,0,87.94,over_60,10,31344,1236,353,233,17,2,8.83,9.67,4,0.05812914752424706,0.05867151607963247,0.03943338437978561,0.011262123532414497,0.007433639612046963,0.0005423685553854007
High,Question,Visa Application Tips,text_overlay,Sunday,0,18.87,15_30,7,43156,1823,305,281,438,1,3.5,20.74,5,0.05582074334970804,0.06596996941329132,0.04224209843358977,0.007067383446102512,0.006511261470015757,0.01014922606358328
High,Tutorial,Destination Guides,screen_recording,Saturday,0,20.88,15_30,14,277357,13783,1966,1688,1115,26,5.84,22.88,3,0.06286843310246361,0.06688852273423783,0.049694076587214316,0.007088337413513991,0.006086019101735308,0.004020089631774211
High,Question,Visa Application Tips,text_overlay,Saturday,1,34.68,30_45,9,34143,1764,358,317,24,3,8.12,27.62,5,0.0714348475529391,0.07213777348211932,0.05166505579474563,0.010485311776938172,0.009284479981255308,0.0007029259291802127
High,Story,Visa Application Tips,voiceover,Saturday,1,37.85,30_45,19,199620,7697,2294,1271,1049,19,9.51,27.18,3,0.05641719266606553,0.06167217713655946,0.03855826069532111,0.011491834485522493,0.006367097485221922,0.005254984470493939
Medium,Question,Destination Guides,voiceover,Sunday,0,31.74,30_45,13,169038,6061,1308,950,820,9,9.0,30.56,3,0.04921378624924573,0.0540647665022066,0.03585584306487299,0.00773790508643027,0.005620038097942474,0.004850980252960873
High,Tutorial,Travel Hacks,voiceover,Thursday,0,45.0,30_45,9,244383,13285,2710,1278,173,26,8.99,21.54,4,0.07068003911892398,0.07138794433328013,0.0543613917498353,0.011089151045694667,0.005229496323394017,0.000707905214356154
Medium,Question,Visa Application Tips,text_overlay,Wednesday,0,12.56,under_15,14,10194,455,37,44,73,0,1.55,8.43,4,0.05257994898960173,0.05974102413184226,0.04463409848930744,0.0036295860309986266,0.004316264469295664,0.007161075142240534
Medium,Tutorial,Destination Guides,screen_recording,Thursday,0,18.38,15_30,13,98967,4300,843,634,56,8,3.76,22.03,3,0.058372993017874644,0.05893883819859145,0.04344882637646892,0.008517990845433327,0.006406175795972395,0.0005658451807168046
High,Tutorial,Travel Hacks,screen_recording,Friday,0,44.88,30_45,8,189948,9721,1775,1413,127,11,17.96,42.17,3,0.06796070503506223,0.06862930907406238,0.051177164276538845,0.00934466274980521,0.007438878008718176,0.0006686040390001475
Medium,Question,Destination Guides,text_overlay,Tuesday,0,21.77,15_30,11,109057,3996,1034,540,49,9,4.14,21.5,3,0.05107420889993306,0.051523515225982745,0.03664138936519435,0.009481280431334073,0.004951539103404641,0.00044930632604968043
High,Tutorial,Budget Travel,voiceover,Monday,0,54.93,45_60,16,58538,2713,584,445,227,6,8.2,16.09,5,0.06392428849636134,0.06780211144897332,0.04634596330588677,0.009976425569715399,0.007601899620759165,0.0038778229526119784
Medium,Story,Destination Guides,text_overlay,Wednesday,1,31.75,30_45,19,93788,4437,426,561,54,9,9.01,24.98,5,0.057832558536273296,0.058408325158868936,0.047308824156608524,0.004542158911587837,0.0059815754680769394,0.0005757666225956412
High,Question,Budget Travel,text_overlay,Friday,0,37.08,30_45,14,167176,6905,875,929,1572,17,5.43,17.97,3,0.05209479829640618,0.06149806192276403,0.04130377566157822,0.005234004881083409,0.005557017753744556,0.009403263626357851
Medium,Statistic,Travel Hacks,voiceover,Wednesday,0,35.47,30_45,21,168883,6038,1415,711,1574,8,5.31,14.32,4,0.04834115926410592,0.057661221082050886,0.035752562424874026,0.008378581621596016,0.004210015217635878,0.009320061817944968
Medium,Question,Budget Travel,voiceover,Wednesday,0,83.0,over_60,12,28174,1150,209,160,38,3,9.65,11.27,3,0.053914957052601686,0.05526371832185703,0.04081777525378008,0.00741818698090438,0.0056789948179172284,0.0013487612692553417
Medium,Story,Travel Hacks,voiceover,Saturday,1,7.04,under_15,9,88808,2881,845,442,42,3,2.67,17.87,4,0.04693270876497613,0.047405639131609764,0.03244077110170255,0.009514908566795785,0.0049770290964777945,0.00047293036663363663
Medium,Story,Visa Application Tips,screen_recording,Sunday,1,28.82,15_30,22,287382,11536,2152,1863,220,28,2.74,12.74,3,0.05411264449408801,0.05487817608618494,0.04014169293831903,0.007488290846329972,0.006482660709439004,0.0007655315920969303
Medium,Statistic,Travel Hacks,voiceover,Saturday,1,57.03,45_60,22,104359,4435,442,613,542,2,12.08,21.52,5,0.05260686668135954,0.05780047719889995,0.042497532555888805,0.004235379794746979,0.005873954330723752,0.005193610517540414
Medium,Tutorial,Destination Guides,voiceover,Wednesday,1,15.85,15_30,15,14867,601,85,93,96,1,2.58,22.77,4,0.052397928297571804,0.05885518261922378,0.040425102576175424,0.005717360597296025,0.006255465124100357,0.006457254321651981
Medium,Question,Budget Travel,text_overlay,Tuesday,0,7.39,under_15,18,131728,4907,1086,935,492,8,2.46,24.49,3,0.05259322239766792,0.05632819142475404,0.03725100206486093,0.008244260901251063,0.007097959431555933,0.0037349690270861166
High,Tutorial,Travel Hacks,voiceover,Monday,1,33.33,30_45,8,126467,6248,1635,1553,105,4,5.41,13.8,5,0.07461234946665929,0.07544260558090253,0.049404192398016876,0.012928273778930473,0.01227988328971194,0.0008302561142432413
High,Statistic,Visa Application Tips,voiceover,Sunday,0,42.79,30_45,11,46755,1931,231,287,433,1,7.37,19.97,3,0.05237942466046412,0.061640466260293014,0.04130039567960646,0.00494064805903112,0.006138380921826543,0.009261041599828896
High,Tutorial,Destination Guides,voiceover,Saturday,0,18.62,15_30,16,68741,3593,383,135,374,3,3.67,21.41,3,0.059804192548842755,0.06524490478753582,0.05226866062466359,0.005571638469035947,0.0019638934551432187,0.005440712238693066
High,Question,Travel Hacks,voiceover,Saturday,1,44.86,30_45,14,129743,5487,813,880,679,11,12.85,29.7,4,0.05534017249485521,0.06057359549262773,0.042291298952544645,0.0062662340164787314,0.0067826395258318364,0.00523342299777252
Medium,Story,Destination Guides,voiceover,Tuesday,0,35.62,30_45,8,213224,8262,1295,646,784,7,2.36,9.41,5,0.047851086181668105,0.051527970584924775,0.0387479833414625,0.00607342513037932,0.003029677709826286,0.003676884403256669
High,Story,Travel Hacks,voiceover,Monday,0,35.05,30_45,8,182208,8511,1469,1715,118,19,7.4,17.0,5,0.0641848876009835,0.06483249912188269,0.046710353003161224,0.008062214611872147,0.009412319985950122,0.0006476115208991921
High,Tutorial,Budget Travel,voiceover,Wednesday,0,14.0,under_15,22,8713,361,74,67,28,1,1.0,9.18,4,0.05761505795937105,0.06082864684953518,0.041432342476758866,0.008493056352576609,0.007689659130035579,0.0032135888901641224
High,Tutorial,Budget Travel,screen_recording,Saturday,0,44.97,30_45,10,30197,1425,254,211,32,1,15.48,31.67,5,0.06258899890717622,0.06364870682518131,0.047190118223664604,0.00841143159916548,0.006987449084346127,0.0010597079180051
High,Question,Travel Hacks,voiceover,Friday,0,56.83,45_60,9,57673,2347,717,428,32,3,9.1,17.59,5,0.06054826348551315,0.061103115842768715,0.04069495257746259,0.012432160629757426,0.0074211502782931356,0.0005548523572555615
High,Story,Visa Application Tips,text_overlay,Saturday,0,42.48,30_45,13,348053,16579,2908,2091,1408,23,7.44,20.88,5,0.06199630516042097,0.06604166606809882,0.047633550062777794,0.008355049374664204,0.006007705722978971,0.0040453609076778535
High,Statistic,Visa Application Tips,text_overlay,Saturday,1,39.03,30_45,12,64504,2872,611,543,235,4,9.54,22.26,5,0.062414733969986355,0.06605791888875108,0.04452437058166935,0.009472280788788293,0.008418082599528712,0.0036431849187647278
Medium,Statistic,Destination Guides,voiceover,Sunday,1,38.91,30_45,20,109052,4297,865,871,137,4,3.43,10.2,5,0.05532223159593588,0.05657851300297106,0.0394032204819719,0.007931995745149103,0.007987015368814878,0.001256281407035176
High,Story,Visa Application Tips,voiceover,Thursday,0,34.65,30_45,22,180431,8671,1929,590,597,11,11.58,29.58,5,0.06201816760977881,0.06532691167260615,0.04805715204150063,0.010691067499487339,0.0032699480687908397,0.003308744062827341
High,Question,Travel Hacks,voiceover,Saturday,1,31.04,30_45,7,117864,5891,721,351,929,10,8.9,25.28,5,0.05907656281816331,0.06695852847349487,0.04998133441933075,0.006117219846602864,0.0029780085522296885,0.007881965655331568
Medium,Statistic,Visa Application Tips,text_overlay,Saturday,0,12.42,under_15,19,20558,732,141,117,116,1,1.0,13.57,4,0.04815643545091935,0.053799007685572525,0.03560657651522522,0.00685864383694912,0.005691215098745014,0.0056425722346531764
High,Tutorial,Visa Application Tips,voiceover,Saturday,1,41.88,30_45,9,176114,8215,1375,1327,1914,14,9.66,20.85,4,0.06198825760586892,0.0728562181314376,0.04664592252745381,0.0078074429062993285,0.007534892172115788,0.010867960525568666
Medium,Statistic,Visa Application Tips,voiceover,Wednesday,0,15.89,15_30,9,90605,3545,1050,450,82,3,1.0,4.0,3,0.05568125379394073,0.056586281110314,0.03912587605540533,0.01158876441697478,0.00496661332156062,0.0009050273163732686
High,Tutorial,Visa Application Tips,voiceover,Wednesday,1,15.58,15_30,18,134717,7028,1505,531,549,8,6.55,32.83,4,0.06728178329386789,0.07135699280714386,0.05216862014445096,0.011171567062805733,0.0039415960866111925,0.004075209513275979
Medium,Question,Travel Hacks,text_overlay,Saturday,0,64.97,over_60,7,31453,1121,286,259,138,1,6.42,10.17,3,0.052967920389152066,0.057355419196896955,0.03564047944552189,0.009092932311703177,0.008234508631927002,0.004387498807744889
Medium,Statistic,Destination Guides,voiceover,Sunday,0,20.71,15_30,13,156860,6081,1224,958,504,12,1.73,10.1,5,0.05267754685707,0.055890603085554,0.03876705342343491,0.00780313655488971,0.006107356878745378,0.0032130562284839984
Medium,Question,Destination Guides,screen_recording,Tuesday,0,24.9,15_30,22,9884,339,52,56,73,1,3.84,11.12,4,0.045224605422905705,0.052610279239174426,0.034297855119384865,0.005261027923917442,0.0056657223796034,0.007385673816268717
Medium,Dramatic,Budget Travel,voiceover,Wednesday,1,44.0,30_45,9,210881,7479,1824,519,94,10,11.55,26.61,5,0.04657603103171931,0.047021780056050566,0.03546549949971785,0.00864942787638526,0.0024611036556162007,0.00044574902433125793
High,Question,Visa Application Tips,text_overlay,Tuesday,0,22.57,15_30,22,82371,3670,625,458,718,8,1.47,12.53,5,0.057702346699688,0.06641900668924743,0.04455451554551966,0.007587621857207027,0.005560209296961309,0.008716659989559433
High,Story,Travel Hacks,screen_recording,Tuesday,0,22.55,15_30,16,390803,17183,2853,1189,2279,28,2.9,8.33,3,0.054311251448939744,0.06014283411335123,0.04396844445922882,0.007300353374974092,0.0030424536147368366,0.005831582664411481
High,Question,Visa Application Tips,screen_recording,Saturday,1,27.78,15_30,21,291959,13018,2415,1921,173,29,3.76,17.88,4,0.0594398528560517,0.060032401809843164,0.044588452488191835,0.008271709383851843,0.006579690984008029,0.000592548953791457
High,Tutorial,Budget Travel,voiceover,Monday,0,18.86,15_30,18,41171,2342,278,91,178,4,4.22,21.54,4,0.06584731971533361,0.07017075125695271,0.05688470039590974,0.006752325666124214,0.0022102936532996525,0.004323431541619101
Medium,Dramatic,Travel Hacks,screen_recording,Tuesday,0,23.68,15_30,18,29757,1004,197,159,14,3,6.18,22.6,3,0.04570353194206405,0.04617400947676177,0.033739960345464934,0.006620291023960749,0.0053432805726383705,0.0004704775346977182
